iter	Passed	Remaining
0	1	177
1	3	164
2	4	158
3	6	147
4	7	145
5	9	143
6	10	140
7	11	137
8	13	134
9	14	132
10	16	131
11	17	129
12	18	126
13	20	124
14	21	121
15	22	119
16	24	117
17	25	115
18	26	113
19	28	112
20	29	111
21	31	110
22	32	108
23	33	107
24	35	106
25	36	104
26	38	102
27	39	101
28	40	100
29	42	99
30	43	97
31	45	96
32	46	94
33	47	92
34	49	91
35	50	89
36	51	88
37	53	86
38	54	85
39	55	83
40	57	82
41	57	79
42	59	78
43	60	76
44	61	75
45	63	74
46	64	72
47	65	71
48	67	69
49	68	68
50	69	67
51	71	65
52	72	64
53	74	63
54	74	61
55	76	59
56	77	58
57	78	57
58	80	55
59	81	54
60	83	53
61	84	51
62	86	50
63	87	49
64	89	47
65	90	46
66	91	45
67	93	43
68	94	42
69	95	41
70	97	39
71	98	38
72	99	36
73	101	35
74	102	34
75	103	32
76	105	31
77	106	30
78	107	28
79	109	27
80	110	25
81	112	24
82	113	23
83	114	21
84	116	20
85	117	19
86	118	17
87	120	16
88	121	15
89	123	13
90	124	12
91	125	10
92	127	9
93	128	8
94	129	6
95	131	5
96	132	4
97	133	2
98	135	1
99	136	0
